Pictogram,PositionX,PositionY,Label
C:\Users\Andrea Hofmann\OneDrive\PhD\exp_dualtask_label-productions\pics/no_bracket.png,-0.65,0,left
C:\Users\Andrea Hofmann\OneDrive\PhD\exp_dualtask_label-productions\pics/bracket.png,0.65,0,right
